AnonID,Query,QueryTime,ItemRank,"ClickURL
"
8449185,childrenplace.com,2006-04-20 20:27:05,,"
"
6721727,irs.gov,2006-04-18 21:19:55,2,"http://www.irs.com
"
1030649,unique venues new york city,2006-03-19 12:11:46,2,"http://www.alltimefavorites.com
"
7448613,www.national-deliveryservice.com,2006-05-14 16:26:59,,"
"
4869993,decorative iron wall lizard,2006-05-22 15:33:36,13,"http://www.trocadero.com
"
7686749,aol verizon dsl,2006-03-06 10:01:46,,"
"
11134786,clopay garage,2006-04-26 01:12:16,1,"http://www.clopaydoor.com
"
4380667,pogo,2006-04-17 17:29:52,,"
"
17054755,colon cancer metastasis,2006-05-18 21:49:43,9,"http://hon.nucleusinc.com
"
13422585,civil war 1964-1968,2006-03-19 13:34:37,13,"http://archive.rockefeller.edu
"
10082975,-,2006-04-10 12:32:52,,"
"
7447267,nude girls,2006-04-26 20:03:42,,"
"
10147421,convallaria majalis bulbs or plants,2006-03-24 16:14:43,4,"http://www.whiteflowerfarm.com
"
10051089,three stories and ten poems by ernest hemingway book cover,2006-05-18 15:40:40,4,"http://www.fantasticfiction.co.uk
"
17768490,www.elisabethjazz.com,2006-04-28 20:30:38,,"
"
151446,letter of agreement,2006-03-17 08:55:01,,"
"
6764963,memberexclusives,2006-03-15 15:10:33,,"
"
1779270,optonline,2006-05-10 17:47:31,1,"http://www.optonline.net
"
6644614,googlew,2006-03-24 19:46:25,,"
"
2649092,classic auto glass,2006-03-24 15:13:31,8,"http://www.pilkington.com
"
4401012,new york state child support enforcement unit,2006-04-17 23:17:59,3,"https://newyorkchildsupport.com/child_support_serv
"
14689785,www.jennycraig.com,2006-03-14 09:17:39,,"
"
13032963,blair worldwide hunting,2006-03-10 22:52:35,7,"http://www.weshixon.com
"
11559395,yahoo,2006-05-03 08:21:04,,"
"
571938,www.freedramamonologus.com,2006-05-10 19:19:23,,"
"
9736838,-,2006-03-06 08:56:34,,"
"
2594946,fairfeild county sc,2006-05-07 18:18:07,,"
"
2665368,classic nintendo kid icarus,2006-04-12 19:40:06,,"
"
3807230,-,2006-05-31 10:17:48,2,"http://www.webmd.com
"
4029181,www.pokemon10th.com,2006-04-07 22:00:59,1,"http://www.pokemon.com
"
21568816,www.danvillelowincomehousing.com,2006-05-15 12:36:08,,"
"
2820739,times record news,2006-05-09 13:58:37,2,"http://www.timesrecord.com
"
9543466,cindy margolis nude,2006-04-29 23:24:34,13,"http://www.mrskin.com
"
3986237,can pierced ears close,2006-05-13 23:16:34,1,"http://www.coolnurse.com
"
3086892,hgtv.com,2006-03-19 17:28:18,8,"http://www.joeant.com
"
5553629,black mcoy antique pieces,2006-04-25 16:13:13,,"
"
3189513,mens spring outerwear,2006-04-19 20:58:42,44,"http://wwww.shop.com
"
14164601,www.mysa,2006-03-17 21:03:41,,"
"
4297598,www.ohiobeautyacademy.com,2006-03-27 18:58:48,,"
"
1291393,www.todaysvids,2006-04-07 11:25:37,,"
"
6652016,foreign intelligence service tactics techniques and procedures,2006-04-08 11:48:36,1,"http://www.dtic.mil
"
3014453,levaquin,2006-03-07 09:54:28,,"
"
48244,disney,2006-03-13 17:33:12,4,"http://www.disney.co.uk
"
6848328,www.mapquest.com,2006-04-30 22:26:29,1,"http://www.mapquest.com
"
1401831,-,2006-05-30 22:24:07,,"
"
9132264,yahoo,2006-04-08 17:13:03,,"
"
6983917,foxinteractive.com,2006-03-20 19:12:27,4,"http://www.avault.com
"
6230191,google,2006-05-13 18:42:07,,"
"
1378533,pictures into text,2006-04-17 21:17:32,1,"http://www.text-image.com
"
9103909,neopets,2006-04-27 09:42:01,1,"http://www.neopets.com
"
2863312,rotorooter,2006-05-30 09:12:41,,"
"
24492081,http www.music .com,2006-05-28 13:52:31,,"
"
6802741,sexy swimsuits.com,2006-05-05 18:25:53,2,"http://www.swimsuits.com
"
20651625,toysrus.eease.com,2006-05-31 13:38:29,,"
"
5009041,wilderness systems tarpon 140 olive,2006-05-04 14:59:42,9,"http://www.tp-kayaks.com
"
3631351,chrissy vargas and debbie driggers and francis atkins,2006-04-24 22:13:46,,"
"
610232,autentic dr. doom costume,2006-03-10 15:42:14,,"
"
268969,adaware,2006-03-10 08:34:26,,"
"
204537,linda cardellini,2006-04-30 19:17:14,1,"http://www.linda-cardellini.com
"
1476830,real witches,2006-03-29 20:46:29,,"
"
2982787,the company store,2006-05-29 08:14:59,1,"http://www.thecompanystore.com
"
10741319,quincenina pictures,2006-03-13 02:44:44,,"
"
5766162,secret ufos caught on some cameras on 9 11,2006-03-30 12:04:58,6,"http://paranormal.about.com
"
3446152,raviv ullman,2006-04-02 01:31:04,,"
"
2196898,oaks group houston,2006-03-02 16:09:56,11,"http://company.monster.com
"
270045,for better or for worse,2006-05-25 02:54:19,1,"http://www.fborfw.com
"
9962041,www.gmacinsurance.com,2006-03-13 22:48:03,,"
"
15894807,housevalue.com,2006-05-04 01:25:50,3,"http://www.myhousevalue.com
"
7368970,graphics of acromegaly,2006-05-11 23:25:18,6,"http://www.nlm.nih.gov
"
652490,map,2006-04-26 12:40:27,2,"http://maps.google.com
"
6561991,sea mist,2006-03-13 17:25:49,4,"http://www.seamistmotel.com
"
14927313,vita,2006-03-29 12:50:56,,"
"
4171493,deal or no deal,2006-03-13 20:31:31,1,"http://seven.com.au
"
1481000,north myrtle beach,2006-03-20 16:30:51,1,"http://www.northmyrtlebeachchamber.com
"
12404199,www.arnoldswartseniger.com,2006-03-14 23:15:24,,"
"
15681142,ccr&r,2006-03-20 16:42:06,,"
"
2488297,iflysouthwest,2006-03-01 22:02:16,,"
"
2066805,daycare handbook forms,2006-04-28 21:56:07,4,"http://www.adaycare.com
"
1026934,facillitate definition,2006-05-08 14:46:13,1,"http://www.answers.com
"
3772075,mars seedless grapes,2006-03-10 12:29:06,13,"http://www.backyardgardener.com
"
11261553,pomeranian dogs,2006-05-14 01:09:53,,"
"
20699799,william singleton walker,2006-04-11 14:32:53,,"
"
11969476,yahoo,2006-03-22 12:22:29,1,"http://www.yahoo.com
"
11378423,www thriftynickel.com,2006-04-03 18:42:58,1,"http://www.thriftynickelads.com
"
7242082,123spillr,2006-03-06 18:38:01,,"
"
1084351,am in love with an old man a song,2006-05-22 18:51:09,9,"http://www.amazon.com
"
8369479,lexmark printers,2006-04-24 11:20:17,2,"http://www.lexmark.com
"
113878,underage incest,2006-04-12 23:07:42,,"
"
13685351,www.sharkshock.com,2006-03-28 14:35:13,,"
"
614361,disalvo's restaurant menu,2006-05-09 13:17:24,1,"http://www.disalvopasta.com
"
24351239,www.beautysuplays.com,2006-05-24 16:22:29,,"
"
1317734,life insurance,2006-03-27 12:04:08,16,"http://www.aflac.com
"
9391512,boombah,2006-04-17 18:56:14,1,"http://www.boombah.com
"
151205,circuitcity.com,2006-04-09 09:35:33,,"
"
8244310,central florida lodge,2006-03-12 20:48:29,4,"http://www.kenlodge.com
"
7260836,www.sikids,2006-04-20 18:54:43,,"
"
12742471,tilt,2006-03-10 19:40:05,1,"http://tilt.lib.utsystem.edu
"
2360361,-,2006-05-31 10:46:19,1,"http://www.google.com
"
4101940,department of labor phone numbers,2006-03-09 11:35:54,3,"http://www.labor.state.nh.us
"
7269845,interview with pitbull,2006-05-08 12:15:23,,"
"
