AnonID,Query,QueryTime,ItemRank,"ClickURL
",Redacted
10798948,california marriages,2006-03-07 23:22:17,10,"http://www.rootsweb.com
",1
3673754,wwww.usps.com,2006-05-26 14:01:59,,"
",0
17280357,golden age card,2006-03-27 11:50:27,3,"http://www.fs.fed.us
",1
15462250,wwwcalexpo.com,2006-05-12 17:14:27,,"
",0
4616854,sguid abdfd2a9f0464977a1722afc3adcc9b9,2006-04-04 12:42:06,,"
",0
2714811,oln.com,2006-05-10 22:38:30,2,"http://www.oln.com
",0
7986446,port-au-prince,2006-04-30 13:33:03,,"
",1
2033819,kylie minogue pics,2006-05-15 20:33:14,,"
",0
3381794,lowndes county alabama emergency response,2006-04-19 16:16:48,4,"http://hrrc.tamu.edu
",1
525968,kaplan,2006-03-15 10:54:26,2,"http://www.kaptest.com
",0
10276862,jackass the movie,2006-03-12 17:09:27,,"
",1
11357556,los angeles california paratransit transportation program,2006-05-20 15:28:19,4,"http://www.pasadenaseniorcenter.org
",1
1677587,-,2006-05-31 12:16:42,,"
",0
2355493,bowers cave,2006-05-30 00:38:56,1,"http://www.scvhistory.com
",0
704306,google.com,2006-03-26 21:46:38,1,"http://www.google.com
",0
858172,dummy m-1 garand,2006-05-18 20:53:10,2,"http://www.wwiiguns.com
",1
5415945,waist cincher,2006-03-15 16:16:55,2,"http://www.fredericks.com
",0
7928391,toyota tacoma,2006-05-16 05:32:09,,"
",0
1099363,insert,2006-03-31 16:41:01,,"
",0
5593765,swedenrock festival 2006,2006-04-28 13:54:14,2,"http://www.swedenrock.com
",1
3482111,lee county school board,2006-03-20 14:15:27,1,"http://www.lee.k12.fl.us
",1
15561750,goo,2006-04-18 17:10:09,,"
",0
12774031,shigella,2006-05-07 14:23:30,3,"http://ohioline.osu.edu
",0
285225,free language translating sites,2006-04-25 18:48:02,16,"http://www.cyndislist.com
",0
4291618,red potato casserole,2006-05-21 07:01:25,,"
",0
10117554,http www.1eyed jacks.com,2006-03-08 10:34:40,,"
",0
1143187,map of sunnyside queens ny,2006-05-27 18:12:21,1,"http://realestate.nytimes.com
",1
11128315,white bumps in vaginal area after shaving,2006-03-11 20:03:06,3,"http://www.hpvfaq.com
",1
5014302,spanking central,2006-05-31 21:05:50,1,"http://spankingcentral.com
",1
1525540,skillet lasagna recipe,2006-04-15 18:23:22,7,"http://www.cdkitchen.com
",0
3454402,san patricios,2006-03-16 15:16:12,4,"http://www.connemara.net
",1
414991,woman clothing,2006-03-16 23:47:45,15,"http://www.sierratradingpost.com
",0
1185726,vegetable soup recipes,2006-03-19 16:14:42,4,"http://soup.allrecipes.com
",0
2692995,meningioma,2006-03-21 23:50:21,,"
",0
2536630,desktop weather,2006-05-08 17:31:54,1,"http://www.weather.com
",0
1581852,udba operativna akcija janjicar,2006-03-25 09:39:39,,"
",0
17163909,www.official trust fuding group.com,2006-05-13 14:49:37,,"
",0
8358063,pregnant galleries,2006-03-09 14:40:22,,"
",1
2592974,family guy porn,2006-03-02 12:26:05,7,"http://www.20six.co.uk
",1
4853651,elvis the ghetto,2006-05-09 03:24:22,5,"http://www.angelfire.com
",1
13512151,http www.groups.msn.com,2006-03-31 09:56:36,,"
",0
6566655,antique boat motors,2006-05-27 14:27:19,,"
",0
2977344,how much contacts cost,2006-05-27 17:09:58,,"
",0
1083941,ebay,2006-04-18 10:15:45,1,"http://www.ebay.com
",0
11266248,esmas.com,2006-03-07 19:25:41,2,"http://www.esmas.com
",0
1726419,-,2006-05-31 15:53:58,4,"http://www.medicalnewstoday.com
",0
13420736,pictures of amatuer pin up girls,2006-03-13 10:39:01,,"
",1
1386247,casting calls for baby phat models,2006-03-16 10:58:52,1,"http://www.newfaces.com
",1
723190,orange county jail inmate locator,2006-04-03 18:53:06,1,"http://www.ocsd.org
",1
13022906,form 990,2006-04-17 10:32:35,13,"http://www.idealist.org
",1
22351679,www.linkinpark.cm,2006-04-27 21:10:12,,"
",0
6733788,keota oldtimers days 2006,2006-04-23 19:40:04,,"
",1
9893367,camel toes,2006-04-04 23:19:08,,"
",0
